Name,Walmart,Safeway,Walmart link,Walmart Image,Safeway link,Safeway Image
"Bruce's Yams Cut Sweet Potatoes in Syrup, Canned Vegetables, 40 oz",$3.27,$5.99,https://www.walmart.com/ip/Bruce-s-Yams-Cut-Sweet-Potatoes-in-Syrup-Canned-Vegetables-40-oz/10290902?selectedSellerId=F55CDC31AB754BB68FE0B39041159D63,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSUJyBhrbqQlSyAh2VM9yG4OgJpJGpGTAahqEvVCQYlukYfQ,https://www.safeway.com/shop/product-details.121450020.html,https://images.albertsons-media.com/is/image/ABS/121450020-ECOM?$ng-ecom-pdp-desktop$&defaultImage=Not_Available
"King's Hawaiian Original Hawaiian Sweet Rolls 12 Count, 12oz, Shelf-Stable",$4.00,$4.49,https://www.walmart.com/ip/King-s-Hawaiian-Original-Hawaiian-Sweet-Rolls-12-Count/10421729?selectedSellerId=F55CDC31AB754BB68FE0B39041159D63,https://i5.walmartimages.com/seo/King-s-Hawaiian-Original-Hawaiian-Sweet-Rolls-12-Count_7fffb8a2-3051-42cb-8252-a7135cc6f4d9.a808f01b7460c63d747ff4975885a718.png?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,https://www.safeway.com/shop/product-details.196010254.html,https://images.albertsons-media.com/is/image/ABS/196010254-C1N1?$ng-ecom-pdp-desktop$&defaultImage=Not_Available
Stouffers Supreme Shells & Three Cheese Sauce 12oz - 12 OZ,$2.66,$3.99,https://www.walmart.com/ip/Stouffer-s-Supreme-Shells-and-Cheese-Three-Cheese-Boxed-Mac-Cheese-Dinner-Kit-12-oz/9031468334?selectedSellerId=F55CDC31AB754BB68FE0B39041159D63,https://i5.walmartimages.com/seo/Stouffer-s-Supreme-Shells-and-Cheese-Three-Cheese-Boxed-Mac-Cheese-Dinner-Kit-12-oz_38ecd600-74c8-413d-b2bd-88fab122aaeb.09ce85f1411a089f60a411e8a12a6fe9.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,https://www.safeway.com/shop/product-details.971074284.html,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSIUZSj23YJq_0EqMHQw3Id1CTX_6PsSfl-Gqhs3ba40tuHEA
JIFFY Muffin Mix Blueberry - 7 Oz,$0.98,$1.25,https://www.walmart.com/ip/JIFFY-Blueberry-Muffin-Mix-7-OZ-Box/10448134?classType=VARIANT&athbdg=L1600&from=/search,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSiBMuNyrYMebGqpmotTEpAsz0P82XaLDuvB5gefJfegHi8CA,https://www.safeway.com/shop/product-details.113300051.html,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT0JZegY-P59h0pRRPYMXmh0j4B-dD8QMTu1-5F06VXPbagjw
"Birds Eye Steamfresh Mixed Vegetables, Frozen Vegetables, 10 oz. Bag",$1.00,$2.00,https://www.walmart.com/ip/Birds-Eye-Steamfresh-Frozen-Mixed-Vegetables-10-oz-Frozen/46879779?classType=REGULAR,https://i5.walmartimages.com/seo/Birds-Eye-Steamfresh-Frozen-Mixed-Vegetables-10-oz-Frozen_0a8dfc90-f772-4fa9-abc2-c9e0d7d2ab4d.02129c11357c54fdde1dbce6ad18fea6.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,https://www.safeway.com/shop/product-details.960143199.html,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcT1LGrmGnSlwSzpgehbMVVC7SZWhT0va-QTmEsWQUcLZQb0rg
Del Monte Fresh Cut Blue Lake Cut Green Beans - 14.5 Oz,$1.25,$0.99,https://www.walmart.com/ip/Del-Monte-Cut-Green-Beans-Canned-Vegetables-14-5-oz-Can/10295200?classType=VARIANT&athbdg=L1300&from=/search,https://i5.walmartimages.com/seo/Del-Monte-Cut-Green-Beans-Canned-Vegetables-14-5-oz-Can_4809dc68-70ef-47e9-9402-d9b638d51b30.620987efbb749197c3a74d4187269960.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,https://www.safeway.com/shop/product-details.121150056.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrTbfGoCdAzW7Ox4tD5YDPjIOWPTChn-seWqmjxgxDMOxtAg
"Del Monte Sweet Peas, Canned Vegetables, 15 oz Can",$1.25,$1.67,https://www.walmart.com/ip/Del-Monte-Sweet-Peas-Canned-Vegetables-15-oz-Can/10318791?classType=VARIANT&athbdg=L1300&from=/search,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRydB5Pn-7AayiWGOcAS0lDOPw55Lq-XRHdQiQqKu1b3fT08g,https://www.safeway.com/shop/product-details.121150014.html,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSsEjMunskFATwxr5854EIJtdaVtmGPu_A0hlYktDh6y-uzHQ
Private Label Whole Kernel Corn - 15 oz,$0.50,$1.00,https://www.walmart.com/ip/Great-Value-Golden-Sweet-Whole-Kernel-Corn-Canned-Corn-15-oz-Can/10315427,https://i5.walmartimages.com/seo/Great-Value-Golden-Sweet-Whole-Kernel-Corn-15-Oz_edbab888-dded-4641-abab-29c87eb28c44.e1a86f4acffc6e0591a4f4a38fcb7a30.png?odnHeight=573&odnWidth=573&odnBg=FFFFFF,https://www.safeway.com/shop/product-details.121150012.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScR4RrYXr7Fx95NqtCttR9TmZnuyl2pdHi6oCqTNgwwZsDgA
"Libby's Canned Pumpkin, 100% Pure Pumpkin Puree, All Natural Gluten Pumpkin for Baking Pumpkin Pie Dessert, 15 oz Can",$1.97,$2.50,https://www.walmart.com/ip/Libby-s-100-Pure-Pumpkin-All-Natural-Canned-Pumpkin-Puree-Filling-for-Baking-Holiday-Pumpkin-Pie-Dessert-15oz-Can/10306750?classType=VARIANT&athbdg=L1300,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQL9rIu7B4Fj48B3ep3Xa5wFaQzz70orWoWyEPmjKLaxAWZEw,https://www.safeway.com/shop/product-details.112050001.html,https://images.albertsons-media.com/is/image/ABS/112050001-C1N1?$ng-ecom-pdp-desktop$&defaultImage=Not_Available
La Marca Prosecco Sparkling Wine - 750 Ml,$17.12,$16.99,https://www.walmart.com/ip/La-Marca-Prosecco-Sparkling-White-Wine-750ml-Glass-Bottle-11-ABV/122347458?classType=REGULAR&athbdg=L1600,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS2FZqso0uK3V6gvlRRoh9QI7VZTRk4HBSY9-LhzBCJsEHZTA,https://www.safeway.com/shop/product-details.960039725.html,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTuIidzcIpFnThpkZGG50BVmMqoMjzfjXJVGiecnZi8WWm7sg
"Modelo Especial Mexican Lager Import Beer, 24 Pack 12 fl. oz. Cans, 4.4% ABV",$25.62,$32.90,https://www.walmart.com/ip/Modelo-Especial-Mexican-Lager-Import-Beer-24-Pack-12-fl-oz-Cans-4-4-ABV/21778186?classType=REGULAR&from=/search,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRmPQBnkI1q35t-JVsNv7wwUEo6YSDeDJwA2Hq-_yhai4eFow,https://www.safeway.com/shop/product-details.960050705.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrMlaFIIDnZCeS30qSKaTHjxUbxb-5qwM7XRNSkJ4D_or3Uw
